Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
104,1973,NFL,8,185,NOR,Bob Peterson,G,Utah,Kyle Whittingham
105,1972,NFL,3,78,DAL,Marv Bateman,P,Utah,Kyle Whittingham
106,1972,NFL,16,416,DAL,Gordon Longmire,QB,Utah,Kyle Whittingham
107,1971,NFL,1,17,STL,Norm Thompson,DB,Utah,Kyle Whittingham
108,1971,NFL,16,394,BUF,Billy Hunter,DB,Utah,Kyle Whittingham
109,1971,NFL,17,436,DET,Gordon Jolley,G,Utah,Kyle Whittingham
110,1970,NFL,13,328,GNB,Dave Smith,RB,Utah,Kyle Whittingham
111,1970,NFL,14,345,STL,Ray Groth,WR,Utah,Kyle Whittingham
112,1969,NFL,3,57,CIN,Speedy Thomas,WR,Utah,Kyle Whittingham
113,1969,NFL,4,89,MIA,Norm McBride,DE,Utah,Kyle Whittingham
114,1969,NFL,11,279,STL,Gary Kerl,LB,Utah,Kyle Whittingham
115,1968,NFL,4,110,OAK,Charlie Smith,RB,Utah,Kyle Whittingham
116,1968,NFL,10,251,BUF,Jerry Lawson,DB,Utah,Kyle Whittingham
117,1968,NFL,10,265,KAN,Jack Gehrke,WR,Utah,Kyle Whittingham
118,1968,NFL,12,301,CIN,Bob Trumpy,TE,Utah,Kyle Whittingham
119,1967,NFL,5,130,GNB,Richard Tate,DB,Utah,Kyle Whittingham
120,1967,NFL,15,384,OAK,Ben Woodson,HB,Utah,Kyle Whittingham
121,1966,AFL,9,77,NYJ,John Stipech,T,Utah,Kyle Whittingham
122,1966,NFL,12,175,WAS,John Stipech,LB,Utah,Kyle Whittingham
123,1965,AFL,2,14,SDG,Roy Jefferson,WR,Utah,Kyle Whittingham
124,1965,NFL,2,18,PIT,Roy Jefferson,WR,Utah,Kyle Whittingham
125,1965,AFL,6,43,OAK,Greg Kent,T,Utah,Kyle Whittingham
126,1965,NFL,7,92,DET,Greg Kent,T,Utah,Kyle Whittingham
127,1965,NFL,7,96,STL,Frank Roy,G,Utah,Kyle Whittingham
128,1965,NFL,14,184,SFO,Frank Andruski,HB,Utah,Kyle Whittingham
129,1964,NFL,10,139,GNB,Allen Jacobs,FB,Utah,Kyle Whittingham
130,1964,AFL,26,205,BUF,Allen Jacobs,FB,Utah,Kyle Whittingham
131,1964,NFL,16,223,GNB,Andrew Ireland,B,Utah,Kyle Whittingham
132,1963,NFL,3,29,RAM,Dave Costa,DT,Utah,Kyle Whittingham
133,1963,AFL,7,49,OAK,Dave Costa,DT,Utah,Kyle Whittingham
134,1963,AFL,9,69,DEN,Marv Fleming,TE,Utah,Kyle Whittingham
135,1963,NFL,11,154,GNB,Marv Fleming,TE,Utah,Kyle Whittingham
136,1963,NFL,15,202,DAL,Jerry Overton,DB,Utah,Kyle Whittingham
137,1962,AFL,3,17,OAK,Ed Pine,LB,Utah,Kyle Whittingham
138,1962,NFL,2,22,SFO,Ed Pine,LB,Utah,Kyle Whittingham
139,1961,AFL,10,74,OAK,Ken Peterson,T,Utah,Kyle Whittingham
140,1961,NFL,14,183,MIN,Ken Petersen,G,Utah,Kyle Whittingham
141,1961,NFL,17,230,PIT,Terry Nofsinger,QB,Utah,Kyle Whittingham
142,1960,AFL,,0,BUF,Bob Coogan,T,Utah,Kyle Whittingham
143,1960,AFL,,0,BUF,Larry Wilson,DB,Utah,Kyle Whittingham
144,1960,AFL,,0,OAK,Tony Polychronis,T,Utah,Kyle Whittingham
145,1960,NFL,7,74,STL,Larry Wilson,DB,Utah,Kyle Whittingham
146,1960,NFL,18,216,NYG,Tony Polychronis,T,Utah,Kyle Whittingham
147,1959,NFL,1,10,NYG,Lee Grosscup,QB,Utah,Kyle Whittingham
148,1958,NFL,6,65,CHI,Merrill Douglas,FB,Utah,Kyle Whittingham
149,1958,NFL,21,247,PIT,Everett Jones,G,Utah,Kyle Whittingham
150,1958,NFL,23,275,SFO,Larry Fields,B,Utah,Kyle Whittingham
151,1956,NFL,5,53,RAM,Herb Nakken,B,Utah,Kyle Whittingham
152,1956,NFL,26,313,CLE,Jack Kammerman,E,Utah,Kyle Whittingham
153,1955,NFL,13,156,DET,Don Henderson,T,Utah,Kyle Whittingham
154,1955,NFL,24,278,CRD,Max Pierce,B,Utah,Kyle Whittingham
155,1954,NFL,7,85,DET,Jack Cross,B,Utah,Kyle Whittingham
156,1954,NFL,16,189,PHI,Charlie Grant,C,Utah,Kyle Whittingham
157,1954,NFL,19,223,PIT,Don Rydalch,B,Utah,Kyle Whittingham
158,1954,NFL,20,241,DET,Jim Durrant,G,Utah,Kyle Whittingham
159,1953,NFL,13,154,PHI,Ray Westort,G,Utah,Kyle Whittingham
160,1953,NFL,17,204,CLE,George Bean,B,Utah,Kyle Whittingham
161,1953,NFL,21,244,WAS,Jim Dublinski,C,Utah,Kyle Whittingham
162,1952,NFL,7,82,DET,Wes Gardner,C,Utah,Kyle Whittingham
163,1952,NFL,8,93,DET,Tom Dublinski,QB,Utah,Kyle Whittingham
164,1951,NFL,23,275,NYY,Dave Cunningham,B,Utah,Kyle Whittingham
165,1950,NFL,20,254,NYG,Joe Tangaro,T,Utah,Kyle Whittingham
166,1949,NFL,4,34,GNB,Bob Summerhays,LB,Utah,Kyle Whittingham
167,1949,NFL,22,212,DET,Gil Tobler,B,Utah,Kyle Whittingham
168,1948,NFL,19,167,DET,Barney Hafen,DE,Utah,Kyle Whittingham
169,1948,NFL,20,179,BOS,Frank Nelson,B,Utah,Kyle Whittingham
170,1948,NFL,22,202,PIT,Tally Stevens,E,Utah,Kyle Whittingham
171,1947,NFL,32,297,GNB,Ralph Olsen,DE,Utah,Kyle Whittingham
172,1946,NFL,5,39,WAS,Gay Adelt,B,Utah,Kyle Whittingham
173,1946,NFL,13,114,CHI,Reed Nostrum,T,Utah,Kyle Whittingham
174,1946,NFL,15,135,NYG,Stan Stapley,T,Utah,Kyle Whittingham
175,1946,NFL,19,177,PHI,Lawrence Mauss,C,Utah,Kyle Whittingham
176,1946,NFL,30,287,DET,Tom Panos,G,Utah,Kyle Whittingham
177,1945,NFL,31,323,NYG,Bill Broderick,T,Utah,Kyle Whittingham
178,1944,NFL,4,30,DET,George Bettridge,B,Utah,Kyle Whittingham
179,1944,NFL,27,281,WAS,Nick Pappas,T,Utah,Kyle Whittingham
180,1943,NFL,18,165,RAM,Bert Davis,C,Utah,Kyle Whittingham
181,1943,NFL,32,299,CHI,Woody Peterson,B,Utah,Kyle Whittingham
182,1942,NFL,8,61,PIT,Floyd Spendlove,T,Utah,Kyle Whittingham
183,1942,NFL,15,135,DET,Mac Speedie,E,Utah,Kyle Whittingham
184,1940,NFL,9,71,CRD,Luke Pappas,T,Utah,Kyle Whittingham
185,1940,NFL,10,87,CHI,Tom Pace,B,Utah,Kyle Whittingham
186,1940,NFL,14,125,RAM,Pete Bogden,E,Utah,Kyle Whittingham
187,1939,NFL,6,43,RAM,Barney McGarry,G,Utah,Kyle Whittingham
188,1938,NFL,6,46,DET,Karl Schleckman,T,Utah,Kyle Whittingham
189,1938,NFL,9,74,PIT,Paul McDonough,E,Utah,Kyle Whittingham
