Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,School,Coach
88,1982,NFL,4,106,DEN,Dan Plater,WR,Brigham Young,Kalani Sitake
89,1981,NFL,2,42,DEN,Clay Brown,TE,Brigham Young,Kalani Sitake
90,1981,NFL,3,81,DAL,Glen Titensor,G,Brigham Young,Kalani Sitake
91,1981,NFL,4,87,SEA,Scott Phillips,WR,Brigham Young,Kalani Sitake
92,1981,NFL,4,106,HOU,Nick Eyre,T,Brigham Young,Kalani Sitake
93,1981,NFL,6,166,NOR,Glen Redd,LB,Brigham Young,Kalani Sitake
94,1981,NFL,8,195,NYJ,Lloyd Jones,WR,Brigham Young,Kalani Sitake
95,1981,NFL,8,196,SEA,Eric Lane,RB,Brigham Young,Kalani Sitake
96,1980,NFL,1,15,OAK,Marc Wilson,QB,Brigham Young,Kalani Sitake
97,1980,NFL,2,55,WAS,Mat Mendenhall,DE,Brigham Young,Kalani Sitake
98,1979,NFL,8,199,STL,Larry Miller,LB,Brigham Young,Kalani Sitake
99,1979,NFL,10,275,PIT,Tod Thompson,TE,Brigham Young,Kalani Sitake
100,1978,NFL,2,56,DAL,Todd Christensen,TE,Brigham Young,Kalani Sitake
101,1978,NFL,3,73,HOU,Gifford Nielsen,QB,Brigham Young,Kalani Sitake
102,1978,NFL,6,158,CHI,Mekeli Ieremia,DT,Brigham Young,Kalani Sitake
103,1978,NFL,9,241,PIT,Lance Reynolds,T,Brigham Young,Kalani Sitake
104,1977,NFL,5,136,NOR,Dave Hubbard,T,Brigham Young,Kalani Sitake
105,1977,NFL,8,199,NYG,Bill Rice,DT,Brigham Young,Kalani Sitake
106,1977,NFL,11,295,SFO,Brian Billick,TE,Brigham Young,Kalani Sitake
107,1976,NFL,3,83,STL,Brad Oates,T,Brigham Young,Kalani Sitake
108,1976,NFL,6,169,ATL,Stan Varner,DT,Brigham Young,Kalani Sitake
109,1976,NFL,8,222,KAN,Orrin Olsen,C,Brigham Young,Kalani Sitake
110,1976,NFL,10,267,TAM,Sid Smith,LB,Brigham Young,Kalani Sitake
111,1976,NFL,17,485,RAM,Gary Shaw,DB,Brigham Young,Kalani Sitake
112,1975,NFL,3,64,CIN,Gary Sheide,QB,Brigham Young,Kalani Sitake
113,1975,NFL,3,74,SFO,Wayne Baker,DT,Brigham Young,Kalani Sitake
114,1975,NFL,4,93,BAL,Paul Linford,DT,Brigham Young,Kalani Sitake
115,1974,NFL,10,254,PIT,Dave Atkinson,DB,Brigham Young,Kalani Sitake
116,1974,NFL,14,359,DAL,Doug Richards,DB,Brigham Young,Kalani Sitake
117,1973,NFL,2,46,DAL,Golden Richards,WR,Brigham Young,Kalani Sitake
118,1973,NFL,3,54,DEN,Paul Howard,G,Brigham Young,Kalani Sitake
119,1973,NFL,3,66,NOR,Pete Van Valkenberg,RB,Brigham Young,Kalani Sitake
120,1973,NFL,15,383,DET,Dan Hansen,DB,Brigham Young,Kalani Sitake
121,1972,NFL,2,38,PIT,Gordon Gravelle,T,Brigham Young,Kalani Sitake
122,1972,NFL,4,82,STL,Jeff Lyman,LB,Brigham Young,Kalani Sitake
123,1971,NFL,3,58,NYJ,Chris Farasopoulos,DB,Brigham Young,Kalani Sitake
124,1970,NFL,14,349,DEN,Jeff Slipp,DE,Brigham Young,Kalani Sitake
125,1969,NFL,8,198,SFO,Mike Loper,T,Brigham Young,Kalani Sitake
126,1968,NFL,5,120,DET,Phil Odle,WR,Brigham Young,Kalani Sitake
127,1968,NFL,9,233,SFO,Casey Boyett,E,Brigham Young,Kalani Sitake
128,1968,NFL,13,332,BOS,Max Huber,T,Brigham Young,Kalani Sitake
129,1968,NFL,17,449,SFO,Dennis Patera,K,Brigham Young,Kalani Sitake
130,1967,NFL,3,64,WAS,Curg Belcher,DB,Brigham Young,Kalani Sitake
131,1967,NFL,6,142,CHI,Virgil Carter,QB,Brigham Young,Kalani Sitake
132,1967,NFL,11,269,DEN,Lou Andrus,LB,Brigham Young,Kalani Sitake
133,1967,NFL,14,363,OAK,Casey Boyett,E,Brigham Young,Kalani Sitake
134,1966,AFL,10,84,BOS,Dennis Brewster,T,Brigham Young,Kalani Sitake
135,1966,NFL,6,85,CHI,Dennis Brewster,T,Brigham Young,Kalani Sitake
136,1964,AFL,21,168,SDG,Allen Robinson,HB,Brigham Young,Kalani Sitake
137,1964,NFL,16,216,DET,Allan Robinson,HB,Brigham Young,Kalani Sitake
138,1963,NFL,17,236,DET,Gene Frantz,B,Brigham Young,Kalani Sitake
139,1962,AFL,19,146,OAK,Kent Horne,T,Brigham Young,Kalani Sitake
140,1962,NFL,11,152,PHI,George Horne,T,Brigham Young,Kalani Sitake
141,1960,AFL,,0,DEN,Lonnie Dennis,G,Brigham Young,Kalani Sitake
142,1960,AFL,,0,DTX,Howard Ringwood,HB,Brigham Young,Kalani Sitake
143,1960,AFL,,0,DTX,John Kapele,DE,Brigham Young,Kalani Sitake
144,1960,NFL,7,78,PIT,Lonnie Dennis,G,Brigham Young,Kalani Sitake
145,1960,NFL,10,114,PIT,John Kapele,DE,Brigham Young,Kalani Sitake
146,1957,NFL,18,215,DET,Jay Weenig,G,Brigham Young,Kalani Sitake
147,1955,NFL,17,200,NYG,Bob Bills,B,Brigham Young,Kalani Sitake
148,1954,NFL,22,265,DET,Dewey Brundage,DE,Brigham Young,Kalani Sitake
149,1952,NFL,14,165,DET,Ray Oliverson,B,Brigham Young,Kalani Sitake
150,1951,NFL,14,162,SFO,Rex Berry,DB,Brigham Young,Kalani Sitake
151,1949,NFL,16,152,DET,Kimball Merrill,T,Brigham Young,Kalani Sitake
152,1948,NFL,31,289,GNB,Gayland (Mike) Mills,E,Brigham Young,Kalani Sitake
153,1947,NFL,16,136,DET,Reed Nilsen,C,Brigham Young,Kalani Sitake
154,1947,NFL,19,171,CRD,Scotty Deeds,B,Brigham Young,Kalani Sitake
155,1947,NFL,28,257,BOS,Dick Chatterton,B,Brigham Young,Kalani Sitake
156,1946,NFL,14,124,CHI,Dick Chatterton,B,Brigham Young,Kalani Sitake
157,1942,NFL,16,146,WAS,Dean (Dee) Chipman,B,Brigham Young,Kalani Sitake
158,1942,NFL,17,151,PIT,Garth Chamberlain,G,Brigham Young,Kalani Sitake
159,1939,NFL,21,192,DET,Merrill Waters,E,Brigham Young,Kalani Sitake
160,1938,NFL,9,73,BKN,John Stringham,B,Brigham Young,Kalani Sitake
